Épocas,MAE Imagen,MAE Segmentación,DSC_Global,Magnitud Deformación Media
1,0.037397172,1.4655717329545455,0.5680979302405668,0.5395602
50,0.018054258,1.2972178460743802,0.6313542649744751,0.6730501
100,0.014484866,1.306449025051653,0.631346499741771,0.78255624
