Épocas,DSC_mean_labels,DSC_std,DSC_global,MAE_Imagen,MAE_Seg,Magnitud_Deform
1,0.44639326632523996,0.0869652664817031,0.5680979302405668,0.037397172,1.4655717329545457,0.5395602
50,0.5071834096761434,0.09262676263582538,0.6313542649744751,0.018054258,1.2972178460743802,0.6730501
100,0.5041806645038095,0.09244632393117862,0.631346499741771,0.014484866,1.306449025051653,0.78255624
