Épocas,Clase,DSC
1,1,0.4757005758156477
1,2,0.39872900590097166
1,3,0.48807707397860056
1,4,0.45862084723280233
1,5,0.6068055555551342
1,6,0.6322653813434701
1,7,0.3577427984817036
1,8,0.5450892329508656
1,9,0.45586555718695715
1,10,0.4056135708546021
1,11,0.5211695109485983
1,12,0.49058284941768976
1,13,0.5257696887223483
1,14,0.5828895678740362
1,15,0.45766629569347
1,16,0.43067790118687216
1,17,0.48101468411145504
1,18,0.4587429384812823
1,19,0.41943236438532294
1,20,0.4660936525581015
1,21,0.25570074301797274
1,22,0.4181099616410449
1,23,0.4255729437067323
1,24,0.5437913994320458
1,25,0.4199024483549111
1,26,0.38278730266497407
1,27,0.44089144324525664
1,28,0.4166275980620887
1,29,0.5430286857904139
1,30,0.3847648261757708
1,31,0.3509192955291848
1,32,0.23720718671812704
50,1,0.5739988911343383
50,2,0.5223841904798847
50,3,0.5015960276642571
50,4,0.5364495848728049
50,5,0.6638948497849625
50,6,0.6148914468886675
50,7,0.4586694198874242
50,8,0.610909509820511
50,9,0.506884242733084
50,10,0.4645130641327959
50,11,0.5949837879075919
50,12,0.6052004952851692
50,13,0.6032009070687702
50,14,0.692394625590937
50,15,0.5386384936520928
50,16,0.4996281145402569
50,17,0.4697465249385794
50,18,0.4807852121374389
50,19,0.4363420023796146
50,20,0.45431315060374583
50,21,0.26798604915218754
50,22,0.4116626923908456
50,23,0.528861211260232
50,24,0.5415762834415974
50,25,0.46567009336969123
50,26,0.40902499854984953
50,27,0.478945484909794
50,28,0.46824523230501264
50,29,0.5718030101360557
50,30,0.43972903438986954
50,31,0.39830062714934317
50,32,0.32068345983195073
100,1,0.5752821852135708
100,2,0.5330280434429135
100,3,0.517777073236778
100,4,0.548290225709315
100,5,0.6619860932959819
100,6,0.623849220731697
100,7,0.45378151260475313
100,8,0.6183486238528564
100,9,0.5038109756095428
100,10,0.4459420705475356
100,11,0.5936720199627946
100,12,0.6089624954522203
100,13,0.5978124594697168
100,14,0.6959086504021
100,15,0.5286275850277485
100,16,0.4896056679402539
100,17,0.48391073850316774
100,18,0.4782647625015718
100,19,0.44441911492307745
100,20,0.459554576471413
100,21,0.28492437794740205
100,22,0.41729468067527514
100,23,0.5304641288962766
100,24,0.5391923990496872
100,25,0.47771108633235804
100,26,0.4111754487549476
100,27,0.48616217170068937
100,28,0.4642001732659471
100,29,0.5610942123449498
100,30,0.44818348451368895
100,31,0.3858909385767744
100,32,0.3109004037185411
