Épocas,Clase,DSC,MAE_Imagen,MAE_Seg,Magnitud_Deform
1,1,0.4757005758156477,0.03698562,1.4287637202995869,0.656213
1,2,0.39872900590097166,0.03698562,1.4287637202995869,0.656213
1,3,0.48807707397860056,0.03698562,1.4287637202995869,0.656213
1,4,0.45862084723280233,0.03698562,1.4287637202995869,0.656213
1,5,0.6068055555551342,0.03698562,1.4287637202995869,0.656213
1,6,0.6322653813434701,0.03698562,1.4287637202995869,0.656213
1,7,0.3577427984817036,0.03698562,1.4287637202995869,0.656213
1,8,0.5450892329508656,0.03698562,1.4287637202995869,0.656213
1,9,0.45586555718695715,0.03698562,1.4287637202995869,0.656213
1,10,0.4056135708546021,0.03698562,1.4287637202995869,0.656213
1,11,0.5211695109485983,0.03698562,1.4287637202995869,0.656213
1,12,0.49058284941768976,0.03698562,1.4287637202995869,0.656213
1,13,0.5257696887223483,0.03698562,1.4287637202995869,0.656213
1,14,0.5828895678740362,0.03698562,1.4287637202995869,0.656213
1,15,0.45766629569347,0.03698562,1.4287637202995869,0.656213
1,16,0.43067790118687216,0.03698562,1.4287637202995869,0.656213
1,17,0.48101468411145504,0.03698562,1.4287637202995869,0.656213
1,18,0.4587429384812823,0.03698562,1.4287637202995869,0.656213
1,19,0.41943236438532294,0.03698562,1.4287637202995869,0.656213
1,20,0.4660936525581015,0.03698562,1.4287637202995869,0.656213
1,21,0.25570074301797274,0.03698562,1.4287637202995869,0.656213
1,22,0.4181099616410449,0.03698562,1.4287637202995869,0.656213
1,23,0.4255729437067323,0.03698562,1.4287637202995869,0.656213
1,24,0.5437913994320458,0.03698562,1.4287637202995869,0.656213
1,25,0.4199024483549111,0.03698562,1.4287637202995869,0.656213
1,26,0.38278730266497407,0.03698562,1.4287637202995869,0.656213
1,27,0.44089144324525664,0.03698562,1.4287637202995869,0.656213
1,28,0.4166275980620887,0.03698562,1.4287637202995869,0.656213
1,29,0.5430286857904139,0.03698562,1.4287637202995869,0.656213
1,30,0.3847648261757708,0.03698562,1.4287637202995869,0.656213
1,31,0.3509192955291848,0.03698562,1.4287637202995869,0.656213
1,32,0.23720718671812704,0.03698562,1.4287637202995869,0.656213
50,1,0.5739988911343383,0.01562642,1.3090829997417355,0.7538704
50,2,0.5223841904798847,0.01562642,1.3090829997417355,0.7538704
50,3,0.5015960276642571,0.01562642,1.3090829997417355,0.7538704
50,4,0.5364495848728049,0.01562642,1.3090829997417355,0.7538704
50,5,0.6638948497849625,0.01562642,1.3090829997417355,0.7538704
50,6,0.6148914468886675,0.01562642,1.3090829997417355,0.7538704
50,7,0.4586694198874242,0.01562642,1.3090829997417355,0.7538704
50,8,0.610909509820511,0.01562642,1.3090829997417355,0.7538704
50,9,0.506884242733084,0.01562642,1.3090829997417355,0.7538704
50,10,0.4645130641327959,0.01562642,1.3090829997417355,0.7538704
50,11,0.5949837879075919,0.01562642,1.3090829997417355,0.7538704
50,12,0.6052004952851692,0.01562642,1.3090829997417355,0.7538704
50,13,0.6032009070687702,0.01562642,1.3090829997417355,0.7538704
50,14,0.692394625590937,0.01562642,1.3090829997417355,0.7538704
50,15,0.5386384936520928,0.01562642,1.3090829997417355,0.7538704
50,16,0.4996281145402569,0.01562642,1.3090829997417355,0.7538704
50,17,0.4697465249385794,0.01562642,1.3090829997417355,0.7538704
50,18,0.4807852121374389,0.01562642,1.3090829997417355,0.7538704
50,19,0.4363420023796146,0.01562642,1.3090829997417355,0.7538704
50,20,0.45431315060374583,0.01562642,1.3090829997417355,0.7538704
